"time_series_id","registered_resource_eic_code","bm_unit_id","ngc_bm_unit_id","psr_type","market_generation_unit_eic_code","market_generation_bm_unit_id","market_generation_ngc_bm_unit_id","settlement_date","settlement_period","quantity"
"ELX-EMFIP-AGOG-TS-219","48W00000GLOFW-15","E_GLOFW-1","GLOFW-1","Generation","48W00000GLOFW-15","E_GLOFW-1","GLOFW-1","2022-01-01",1,"1.202"
"ELX-EMFIP-AGOG-TS-326","48W000000EAAO-1R","T_EAAO-1","EAAO-1","Generation","48W000000EAAO-1R","T_EAAO-1","EAAO-1","2022-01-01",1,"149.06"
"ELX-EMFIP-AGOG-TS-334","48W0000000FASN25","T_FASN-2","FASN2","Generation","48W0000000FASN25","T_FASN-2","FASN2","2022-01-01",1,"7.182"
"ELX-EMFIP-AGOG-TS-327","48W000000EAAO-2P","T_EAAO-2","EAAO-2","Generation","48W000000EAAO-2P","T_EAAO-2","EAAO-2","2022-01-01",1,"149.208"
"ELX-EMFIP-AGOG-TS-331","48W00000FAARW-13","T_FARR-1","FAARW-1","Generation","48W00000FAARW-13","T_FARR-1","FAARW-1","2022-01-01",1,"26.03"
"ELX-EMFIP-AGOG-TS-392","48W000000MOWEO11","T_MOWEO-1","MOWEO-1","Generation","48W000000MOWEO11","T_MOWEO-1","MOWEO-1","2022-01-01",1,"157.23"
"ELX-EMFIP-AGOG-TS-332","48W00000FAARW-21","T_FARR-2","FAARW-2","Generation","48W00000FAARW-21","T_FARR-2","FAARW-2","2022-01-01",1,"26.824"
"ELX-EMFIP-AGOG-TS-393","48W00000MOWEO-2Y","T_MOWEO-2","MOWEO-2","Generation","48W00000MOWEO-2Y","T_MOWEO-2","MOWEO-2","2022-01-01",1,"32.104"
"ELX-EMFIP-AGOG-TS-357","48W00000HADHW-1J","T_HADHW-1","HADHW-1","Generation","48W00000HADHW-1J","T_HADHW-1","HADHW-1","2022-01-01",1,"95.44"
"ELX-EMFIP-AGOG-TS-394","48W00000MOWEO-3W","T_MOWEO-3","MOWEO-3","Generation","48W00000MOWEO-3W","T_MOWEO-3","MOWEO-3","2022-01-01",1,"176.13"
"ELX-EMFIP-AGOG-TS-197","48W00000BETHW-1H","E_BETHW-1","BETHW-1","Generation","48W00000BETHW-1H","E_BETHW-1","BETHW-1","2022-01-01",1,"1.988"
"ELX-EMFIP-AGOG-TS-213","48W000000FASN-42","E_FASN-4","FASN-4","Generation","48W000000FASN-42","E_FASN-4","FASN-4","2022-01-01",1,"7.988"
"ELX-EMFIP-AGOG-TS-201","48W00000BRDUW-1V","E_BRDUW-1","BRDUW-1","Generation","48W00000BRDUW-1V","E_BRDUW-1","BRDUW-1","2022-01-01",1,"27.736"
"ELX-EMFIP-AGOG-TS-205","48W00000BURBW-1L","E_BURBO","BURBW-1","Generation","48W00000BURBW-1L","E_BURBO","BURBW-1","2022-01-01",1,"29.892"
"ELX-EMFIP-AGOG-TS-434","48W00000WHILW-1M","T_WHILW-1","WHILW-1","Generation","48W00000WHILW-1M","T_WHILW-1","WHILW-1","2022-01-01",1,"106.626"
"ELX-EMFIP-AGOG-TS-376","48W00000KILBW-1W","T_KILBW-1","KILBW-1","Generation","48W00000KILBW-1W","T_KILBW-1","KILBW-1","2022-01-01",1,"21.85"
"ELX-EMFIP-AGOG-TS-390","48W00000MILWW-1M","T_MILWW-1","MILWW-1","Generation","48W00000MILWW-1M","T_MILWW-1","MILWW-1","2022-01-01",1,"35.28"
"ELX-EMFIP-AGOG-TS-228","48W00000MINSW-1U","E_MINSW-1","MINSW-1","Generation","48W00000MINSW-1U","E_MINSW-1","MINSW-1","2022-01-01",1,"14.632"
"ELX-EMFIP-AGOG-TS-211","48W00000DALSW-1M","E_DALSW-1","DALSW-1","Generation","48W00000DALSW-1M","E_DALSW-1","DALSW-1","2022-01-01",1,"8.606"
"ELX-EMFIP-AGOG-TS-414","48W000000STAY-3U","T_STAY-3","STAY-3","Generation","48W000000STAY-3U","T_STAY-3","STAY-3","2022-01-01",1,"197.6"
"ELX-EMFIP-AGOG-TS-415","48W000000STAY-4S","T_STAY-4","STAY-4","Generation","48W000000STAY-4S","T_STAY-4","STAY-4","2022-01-01",1,"279.6"
"ELX-EMFIP-AGOG-TS-207","48W00000CLFLW-1O","E_CLFLW-1","CLFLW-1","Generation","48W00000CLFLW-1O","E_CLFLW-1","CLFLW-1","2022-01-01",1,"1.724"
"ELX-EMFIP-AGOG-TS-342","48W00000GNFSW-1H","T_GNFSW-1","GNFSW-1","Generation","48W00000GNFSW-1H","T_GNFSW-1","GNFSW-1","2022-01-01",1,"84.78"
"ELX-EMFIP-AGOG-TS-343","48W00000GNFSW-2F","T_GNFSW-2","GNFSW-2","Generation","48W00000GNFSW-2F","T_GNFSW-2","GNFSW-2","2022-01-01",1,"58.12"
"ELX-EMFIP-AGOG-TS-328","48W10000EDINW-1N","T_EDINW-1","EDINW-1","Generation","48W10000EDINW-1N","T_EDINW-1","EDINW-1","2022-01-01",1,"39.38"
"ELX-EMFIP-AGOG-TS-420","48W00000TDBNW-1W","T_TDBNW-1","TDBNW-1","Generation","48W00000TDBNW-1W","T_TDBNW-1","TDBNW-1","2022-01-01",1,"17.73"
"ELX-EMFIP-AGOG-TS-310","48W00000CRYRW-2L","T_CRYRW-2","CRYRW-2","Generation","48W00000CRYRW-2L","T_CRYRW-2","CRYRW-2","2022-01-01",1,"87.2"
"ELX-EMFIP-AGOG-TS-347","48W00000GRGBW-1V","T_GRGBW-1","GRGBW-1","Generation","48W00000GRGBW-1V","T_GRGBW-1","GRGBW-1","2022-01-01",1,"131.094"
"ELX-EMFIP-AGOG-TS-346","48W100000GRAI-6N","T_GRAI-6","GRAI-6","Generation","48W100000GRAI-6N","T_GRAI-6","GRAI-6","2022-01-01",1,"135.9"
"ELX-EMFIP-AGOG-TS-285","48W00000ANSUW-1E","T_ANSUW-1","ANSUW-1","Generation","48W00000ANSUW-1E","T_ANSUW-1","ANSUW-1","2022-01-01",1,"11.224"
"ELX-EMFIP-AGOG-TS-441","48W00000WLNYW-1A","T_WLNYW-1","WLNYW-1","Generation","48W00000WLNYW-1A","T_WLNYW-1","WLNYW-1","2022-01-01",1,"87.72"
"ELX-EMFIP-AGOG-TS-303","48W00000CLDSW-11","T_CLDSW-1","CLDSW-1","Generation","48W00000CLDSW-11","T_CLDSW-1","CLDSW-1","2022-01-01",1,"56.6"
"ELX-EMFIP-AGOG-TS-286","48W10000ARCHW-1N","T_ARCHW-1","ARCHW-1","Generation","48W10000ARCHW-1N","T_ARCHW-1","ARCHW-1","2022-01-01",1,"45.06"
"ELX-EMFIP-AGOG-TS-391","48W00000MKHLW-1D","T_MKHLW-1","MKHLW-1","Generation","48W00000MKHLW-1D","T_MKHLW-1","MKHLW-1","2022-01-01",1,"49.84"
"ELX-EMFIP-AGOG-TS-397","48W00000PEMB-51H","T_PEMB-51","PEMB-51","Generation","48W00000PEMB-51H","T_PEMB-51","PEMB-51","2022-01-01",1,"281"
"ELX-EMFIP-AGOG-TS-427","48W00000WBURB-19","T_WBURB-1","WBURB-1","Generation","48W00000WBURB-19","T_WBURB-1","WBURB-1","2022-01-01",1,"244.48"
"ELX-EMFIP-AGOG-TS-406","48W000000RREW-14","T_RREW-1","RREW-1","Generation","48W000000RREW-14","T_RREW-1","RREW-1","2022-01-01",1,"54.49"
"ELX-EMFIP-AGOG-TS-407","48W000000RRWW-1P","T_RRWW-1","RRWW-1","Generation","48W000000RRWW-1P","T_RRWW-1","RRWW-1","2022-01-01",1,"81.312"
"ELX-EMFIP-AGOG-TS-350","48W10000GRIFW-1N","T_GRIFW-1","GRIFW-1","Generation","48W10000GRIFW-1N","T_GRIFW-1","GRIFW-1","2022-01-01",1,"46.984"
"ELX-EMFIP-AGOG-TS-351","48W00000GRIFW-2Y","T_GRIFW-2","GRIFW-2","Generation","48W00000GRIFW-2Y","T_GRIFW-2","GRIFW-2","2022-01-01",1,"58.05"
